,Title(s),Multiplayer,Year(s) released,Developer(s),Publisher(s),Region(s) released
1432,Ultra Keibitai: Monster Attack,,2004,Rocket Company,Rocket Company,JP
1433,Unfabulous,,2006,WayForward,THQ,
1434,Uno / Skip-Bo NA• Uno & Skip-Bo PAL,,2006,Black Lantern Studios,DSI Games NA / Jack of All Games PAL,"NA, PAL"
1435,Uno 52,,2006 (NA)2007 (PAL),Black Lantern Studios,DSI Games NA / Zoo Digital Publishing PAL,"NA, PAL"
1436,Uno Free Fall,,2007,Black Lantern Studios,DSI Games NA / Zoo Digital Publishing PAL,"NA, PAL"
1437,Urban Yeti!,No,2002,Cave Barn,"Telegames, Inc.","NA, PAL"
1438,"The Urbz: Sims in the City NA, PAL• Les Urbz: Les Sims in the City FR• Die Urbz: Sims in the City DE• Los Urbz: Sims en la Ciudad ES• De Urbz: Sims in the City NL",,2004,Griptonite Games,EA Games,"NA, JP, PAL"
1439,V.I.P.,,2002,Planet Interactive,Ubisoft,PAL
1440,Van Helsing,,2004,Saffire,VU Games NA / Sierra Entertainment PAL,"NA, PAL"
1441,Vattroller X,,2004,Ganbarion,Bandai,JP
1442,VeggieTales: LarryBoy and the Bad Apple,,2006,Crave,Crave,
1443,V Master Cross,,2002,Success,Success,JP
1444,V-Rally 3,,2002,V3D Production,Atari,"NA, JP, PAL"
1445,Virtua Tennis,Yes,2002 (NA)2003 (PAL),Altron,THQ NA / Sega PAL,"NA, PAL"
1446,Virtual Kasparov,Yes (SPM),2002,Titus Software,Titus Software,"NA, PAL"
1447,W.I.T.C.H.,,2005,Climax Group,Buena Vista Games,PAL
